label,title,content
5,HMS Repulse (1892), HMS Repulse was a Royal Sovereign-class pre-dreadnought battleship of the Royal Navy. She was the tenth ship to bear the name HMS Repulse. Laid down in 1890 Repulse was completed in 1894 becoming one of the world's top fighting ships at launch. Repulse was 410 feet long and had a maximum cruising speed of 17 knots.
6,Occum Hydroelectric Plant and Dam, Occum Hydroelectric Plant and Dam is a historic hydroelectric plant and dam north of Bridge Street on the west side of the Shetucket River in Norwich Connecticut.It masonry-concrete dam was built in 1865. It stands 14 feet high and impounds a maximum of 600 acre-feet of water. The city of Norwich's Department of Public Utilities owns the site which was added to the National Register of Historic Places in 1996.
0,GDF Suez Energy Resources NA, GDF Suez Energy Resources NA is the retail energy subsidiary of IPR-GDF SUEZ North America Inc. . and one of the largest non-residential retail energy suppliers in the United States.GDF Suez Energy Resources currently supplies customers in 12 markets: Delaware Texas Massachusetts Maine Maryland New York New Jersey Pennsylvania Illinois Connecticut Ohio and Washington D.C.
3,Ruthie Matthes, Ruthie Matthes (born November 11 1965) is an American professional bicycle racer who won the World Cross-Country Mountain Bike Championship in 1991. She is also a road cyclist having twice finished in 2nd place in the Women's Challenge bicycle stage race. Ruthie is one of a series of professional riders who got their start in cycling through the Red Zinger Mini Classics youth bicycle race series in Colorado.
0,Toast Records, Toast Records is an independent record label based in Turin Italy.
13,The Black Camel, The Black Camel (1929) is the fourth of the Charlie Chan novels by Earl Derr Biggers.
0,Leicestershire Law Society, Leicestershire Law Society was formed in 1860 to support the legal profession in Leicestershire and Rutland. Today it has about 500 members who are solicitors practising in Leicester Leicestershire and Rutland. This is a good majority of solicitors and their firms in the area and the information provided on this website is therefore representative of the local profession.
6,Wickfield Round Barn, The Wickfield Round Barn is a historic structure located near Cantril in rural Van Buren County Iowa United States. It was built in 1919 and has been listed on the National Register of Historic Places since 1986. The building measures 52 x 65 feet (15.8 x 19.8 m) around. The structure is constructed of clay tile and features an aerator. The two-pitch roof features eight dormers on the lower part and four dormers on the upper part of the roof.
12,Only the Brave (film), Only the Brave is a 1994 Australian film.
1,Media Arts & Communications Academy, Media Arts and Communications Academy (or MACA) is a charter school located in McMinnville Oregon United States. MACA is a small tech focused college preparatory high school option for McMinnville School District students.
8,Abeh-ye Sabzvariha, Abeh-ye Sabzvariha (Persian: ابه سبزواريها‎ also Romanized as Ābeh-ye Sabzvārīhā; also known as Sabzevārī) is a village in Nezamabad Rural District in the Central District of Azadshahr County Golestan Province Iran. At the 2006 census its population was 703 in 163 families.
0,WeWOOD, WeWOOD is a watch brand that manufacturers wooden watches. The brand was developed in 2009 in Italy and its trademark was registered in 2010 under the company name Fratelli Diversi. The headquarters of the company is located in Lamporecchio and a North American regional office is located in Los Angeles.According to WeWOOD the company plants a tree for every watch sold. As of December 2013 the company has planted 250000 trees in America and other countries where the watch is sold.
12,Practical Magic, Practical Magic is a 1998 American romantic comedy film based on the 1995 novel of the same name by Alice Hoffman. The film was directed by Griffin Dunne and stars Sandra Bullock Nicole Kidman Stockard Channing Dianne Wiest Aidan Quinn and Goran Visnjic. The film score was composed by Alan Silvestri.Bullock and Kidman play sisters Sally and Gillian Owens who have always known they were different from each other.
13,Studies in Iconography, Studies in Iconography is an annual peer-reviewed journal published by the Medieval Institute Publications of Western Michigan University. Since 2001 it is produced in collaboration with Princeton University's Index of Christian Art. The journal publishes articles (especially those with an interdisciplinary approach) on all aspects of iconography before 1600 and includes book reviews and thematic overviews of scholarship.
5,LB&SCR E6 class, The London Brighton and South Coast Railway E6 Class is a class of 0-6-2Tside tank steam locomotive designed by Robert Billinton. They were introduced in 1904 and were a development of the E5 class with smaller driving wheels intended for heavy short and medium-distance freight trains.
10,Olearia myrsinoides, Olearia myrsinoides commonly known as Silky Daisy-bush is a species of flowering plant in the family Asteraceae. It is a shrub to 1.5 metres high with toothed leaves. These are dark green above and tomentose underneath. The flowerheads have 2 to 4 white ray florets and 3 to 4 pale yellow or violet disc florets. These appear between November and March in the species native range.
7,Drews Gap, Drews Gap (el. 5306 ft.) is a mountain pass in the U.S. state of Oregon traversed by Oregon Route 140. It is named for Major Charles S. Drew of the 1st Oregon Cavalry who surveyed a route from Fort Klamath east to the Owyhee River in 1864 that became the Oregon Central Military Road.It is located between Drews Reservoir and Booth State Scenic Corridor which is just East of the summit and 12 miles west of Lakeview.
2,Iain Blair, Iain Blair (12 August 1942 – 3 July 2011) was a Scottish actor and author who using the pen name Emma Blair wrote a series of romantic novels.
0,Borden Milk Products, Borden Milk Products L.P. is a privately held American corporation owned by the Dallas Texas-based Milk Products LLC a subsidiary of Grupo Lala.
11,1st (The Rasmus EP), 1st is the first EP by the Finnish rock band The Rasmus (named just Rasmus when the EP was released). It was originally released independently through Teja G.
10,Griselinia, Griselinia is a genus of seven species of shrubs and trees with a highly disjunct distribution native to New Zealand and South America. It is a classic example of the Antarctic flora. It is the sole genus in the family Griseliniaceae; in the past it was often placed in Cornaceae but differs from that in many features. The leaves are evergreen smooth and glossy above often paler below. The flowers are very small with five sepals and stamens and a single stigma. Petals 2–3 mm long.
12,The Golden Cage (1975 film), The Golden Cage is a 1975 Australian film about two Turkish migrants in Australia made by the husband and wife team Ayten and Ilhan Kuyululu. It was the first Australian film directed by a woman since the 1930s.
13,Planet of Twilight, Planet of Twilight is a 1997 novel by Barbara Hambly set in the Star Wars galaxy.
6,Canadian Museum of Contemporary Photography, The Canadian Museum of Contemporary Photography (CMCP) (French: Le Musée canadien de la photographie contemporaine (MCPC)) was a gallery of Canada's best art and documentary photography.
0,Mikuni (company), Mikuni Corporation (株式会社ミクニ Kabushiki-gaisha Mikuni) is a leading Japanese carburettor manufacturing company that was founded in 1923 and incorporated in 1948. Their business activities are centred on carburettors fuel injectors and other automobile related equipment. The operations are carried through the following divisions: Automobile-related Living and Environment related goods and Sale of imported goods.
9,Scania messia, Scania messia is a moth of the Noctuidae family. It is found from the Valparaíso to the Los Lagos Region of Chile Buenos Aires Tandil La Rioja and Santa Fe in Argentina and Colonia Estanzuela Puntas Arcual Montevideo and Paysandú in Uruguay.The wingspan is about 31.6 mm. Adults are on wing from August to April.The larvae feed on various agricultural crops as well as Fagaceae species and Brassica nigra.
3,Eddie Nicholls, Edward Albert Eddie Nicholls (born 10 December 1947 in British Guiana) is an international Test and One Day International cricket umpire. Nicholls officiated in 17 Tests from 1997 to 2001 and 46 ODIs from 1995 to 2005. Nicholls is one of four West Indian umpires on the International Cricket Council's elite panel of international umpires. A former police officer Nicholls played club cricket for the Guyanese police force cricket team. He is married and has a son and two daughters.
9,Slender Pug, The Slender Pug (Eupithecia tenuiata) is a moth of the family Geometridae. It is found throughout Europe and the Near East in habitats favoured by its food plant.This is one of the smallest of the Geometrids with a wingspan of only 14–16 mm. Its size is the main identifying feature as it is otherwise rather nondescript brown with faint paler markings and a tiny black discal spot on each wing. As the common name suggests the wings are narrow even for a pug.
0,Isofoton, ISOFOTON is a global company present in over 60 countries. ISOFOTON is involved in designing manufacturing and supplying Solar Energy products. Its activities are centered in three technology categories: Photovoltaic Thermal and High Concentration Photovoltaic.
13,Mormonism: A Historical Encyclopedia, Mormonism: A Historical Encyclopedia is an encyclopedia designed for a general readership about topics relating to the History of The Church of Jesus Christ of Latter-day Saints edited by W. Paul Reeve and Ardis E. Parshall. Reeve is a professor of history at the University of Utah and Parshall is an independent historian newspaper columnist and freelance researcher.
2,Andrea Polli, Andrea Polli (born 1968) is an environmental artist and writer. Polli blends art and science to create widely varied media and technology artworks related to environmental issues. Her work has appeared widely in over one hundred exhibitions and performances both nationally and internationally including the Whitney Museum of American Art Artport and The Field Museum of Natural History.
5,Andrasta-class submarine, Andrastra is a submarine design concept announced by the French shipbuilder DCNS in 2008. A development of the Scorpène class submarine and based on the previous SMX-23 concept it is a smaller vessel optimised for shallow water operations. DCNS advertising material for the ship concept in a PDF document with a date-time stamp of October 19 2008 includes information and digital illustrations that reveal the torpedo tube configuration and other details.
3,Mike Enneking, Mike Enneking is a retired American soccer player who played professionally in the Western Soccer Alliance and Major Indoor Soccer League. He is the Vice President of Crossfire Premier Soccer Club.Enneking graduated from Bellarmine Preparatory School in 1980. He set the Washington State prep single season scoring record with 39 goals and was inducted into the school's Athletic Hall of Fame in 2001.
10,Begonia compacticaulis, Begonia compacticaulis is a species of plant in the Begoniaceae family. It is endemic to Ecuador. Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical moist montane forests. It is threatened by habitat loss.
6,The Red House (Trinidad and Tobago), The Red House is the seat of Parliament in the Republic of Trinidad and Tobago. The architectural design of the Red House is of Greek revival style. The original building was destroyed in the 1903 water riots and was rebuilt in the year 1907. The Red House is located centrally within the capital city Port of Spain. It is currently used as a meeting place for parliament and elections and for political uses.
11,Soulnik, Soulnik is the second of two albums led by American jazz bassist Doug Watkins featuring tracks recorded in 1960 and released on the New Jazz label.
6,Arden (estate), Arden was the estate owned by railroad magnate Edward Henry Harriman and Mary Averell Harriman outside Harriman New York. By the early 1900s the family owned 40000 acres (16000 ha) 63 square miles (160 km2) in the area half of it comprising the Arden Estate.
2,Clyde McKnight, Clyde Prince'Lee McKnight (born April 29 1992) is an American singer-songwriter rapper dancer and actor. He is of African-American Afro-Trinidadian & Samoan descent. He was formally signed to Queen Bee Entertainment and is now independent.
4,Antonio Ingroia, Antonio Ingroia (born 31 March 1959) is an Italian magistrate and politician and leader of Civil Revolution with Luigi de Magistris the mayor of Naples. Ingroia is also the director of a UN investigation against narcotraffic in Guatemala. He is also a writer and contributes regular columns to the daily newspaper Il Fatto Quotidiano.
0,Writtenhouse Records, Writtenhouse Records is a Philadelphia Pennsylvania based independent record label. It was established with Southwork's debut album Arise in 2012.
11,Twisted into Form, Twisted into Form is the second album from San Francisco California thrash metal band Forbidden. It features one line-up change from their debut – 1988's Forbidden Evil – with Tim Calvert replacing Glen Alvelais on guitar. The result is a more melodic and progressive affair with many acoustic interludes and clearer production but less of a raw edge than its predecessor. It is their last album with drummer Paul Bostaph before he joined Slayer in 1992 when Forbidden was on hiatus.
12,The Next Karate Kid, The Next Karate Kid (aka The Karate Kid Part IV) is a 1994 American martial arts drama film starring Pat Morita and Hilary Swank. It is the fourth and final film in the original The Karate Kid series. It was directed by Christopher Cain written by Mark Lee with music by Bill Conti. This is the only film in the original series that does not feature Ralph Macchio in the lead role and that was not directed by John G. Avildsen.
0,Sea Sonic, Sea Sonic Electronics Co. Ltd. is a computer power supply manufacturer and retailer formerly limited to trading as hardware OEM for other companies. They first made power supplies in 1980s for the Apple II and the IBM PC and are now known for highly efficient designs. Antec Corsair Memory XFX and other computer hardware companies sell power supplies which are rebadged or based on Sea Sonic units.
5,Caproni Ca.18, The Caproni Ca.18 was a military reconnaissance aircraft built in Italy shortly prior to World War I. It became the first Italian-designed and -built aircraft to see service with the Italian armed forces. The Ca.18 was a monoplane of conventional configuration and fixed tailskid undercarriage.
12,Thieves After Dark, Thieves After Dark (French: Les voleurs de la nuit) is a 1984 drama film directed by Samuel Fuller. It stars Véronique Jannot and Bobby Di Cicco. The film was entered into the 34th Berlin International Film Festival.
13,Small is Profitable, Small is Profitable: The Hidden Economic Benefits of Making Electrical Resources the Right Size is a 2002 book by energy analyst Amory Lovins and others. The book describes 207 ways in which the size of electrical resources—devices that make save or store electricity—affects their economic value.
10,Aeschynanthus radicans, Aeschynanthus radicans is a vine-like plant native to the humid tropics of the Malay Peninsula south to Java.It is an epiphyte or lithophyte growing to 1.5 m tall with leathery green leaves that are 4–8 cm long ovate to lanceolate opposite or whorled. The flowers are terminal tubular 5-7.5 cm long with the upper lobes shorter than the lower.
8,Gurchari, Gurchari (Persian: گورچاري‎ also Romanized as Gūrchārī) is a village in Talang Rural District Talang District Qasr-e Qand County Sistan and Baluchestan Province Iran. At the 2006 census its population was 211 in 36 families.
1,JFS (school), JFS (formerly known as the Jews' Free School) is a Jewish secondary school in Kenton north London. It presently accepts both male and female students. At one time it had more than 4000 students attending making this school the largest Jewish school in Europe.
10,Blepharispermum hirtum, Blepharispermum hirtum is a species of tree in the aster family Asteraceae. It is native to Oman and Yemen. It grows in escarpment woodland habitat where it is sometimes a dominant species. In some parts of its range it is vulnerable to overexploitation for its wood.
7,Palmiet River, Palmiet River (Afrikaans: Palmietrivier) is a river located in the Western Cape province South Africa. The Palmiet River is a typical Western Cape river experiencing winter rainfall and it is important for the Western Cape Water Supply System.
11,Property of.., Property Of.. is the fourth album by Swedish Heavy Metal band Syron Vanes released in 2007. It was produced by Rimbert Vahlstroem.
4,Panagiotis Pikrammenos, Panagiotis Pikrammenos (Greek: Παναγιώτης Πικραμμένος [panaˈʝotis pikraˈmenos]) (born 1945) is a Greek judge who served as the interim Prime Minister of Greece in May–June 2012 after the legislative election in May 2012 resulted in an absence of majority.
13,Der Stechlin, Der Stechlin is a novel by Theodor Fontane written between 1895 and 1897 and first published in the literary journal Über Land und Meer. It was published in book form in 1898. It is Fontane's second longest novel and last novel before he died about a year after its publication.
8,Yengejeh Ajab Shir, Yengejeh (Persian: ينگجه‎) is a village in Kuhestan Rural District Qaleh Chay District Ajab Shir County East Azerbaijan Province Iran. At the 2006 census its population was 858 in 199 families.
6,Nan Tait Centre, The Nan Tait Centre is a Grade II listed building located on Abbey Road in the Hindpool area of Barrow-in-Furness Cumbria England. Designed by architects Woodhouse and Willoughby it was built for the Barrow Corporation as the town's new Technical School. The foundation stone was laid on 26 May 1900 and the school was officially opened three years later on 25 August 1903.
7,Rubicon River (Victoria), The Rubicon River is a tributary of the Goulburn River in Victoria Australia.The river rises in the Blue Range east of Buxton and flows North towards Thornton.The Rubicon Hydroelectric Scheme with a present-day capacity of 13 MW was established on the river and its tributary the Royston River in 1924.
0,Allstate Northern Ireland, Allstate NI is a company based in Belfast Derry and Strabane in Northern Ireland. The company was previously known as Northbrook Technology. As of May 7 2008 Northbrook Technology was renamed to Allstate Northern Ireland.Allstate NI specialises in delivering technology and business services to its parent company Allstate. The company currently employs around 1500 workers with plans to develop further.
6,Mohawk Building, The Mohawk Building is a building located in downtown Portland Oregon listed on the National Register of Historic Places.
1,Cheung Sha Wan Catholic Secondary School, Cheung Sha Wan Catholic Secondary School (CSWCSS) (Traditional Chinese:長沙灣天主教英文中學) is a secondary school in Hong Kong. It was established in 1970 by the Catholic Diocese of Hong Kong; Christ the King Church was an affiliated body until 1 September 1999 imbursed by the Government of Hong Kong.The school is situated on Fuk Wing Street Cheung Sha Wan. The school is an EMI (English as the medium of instruction) school.
10,Amyema congener, Amyema congener commonly known as the Variable mistletoe is a species of flowering plant an epiphytic hemiparasitic plant of the family Loranthaceae from eastern Australia.
9,Phtheochroa gigantica, Phtheochroa gigantica is a species of moth of the Tortricidae family. It is found in Mexico (Distrito Federal).
1,Malayan High School of Science, The Malayan High School of Science (MHSS) is a private secondary educational institution established in 2005 and it is managed and operated by the Mapúa Institute of Technology (MIT). It is located on a one-hectare property along P. Guazon Street (formerly Otis St.) in the district of Pandacan City of Manila Philippines.
3,Will Johnson (rugby union born 1974), William Warwick Johnson (born 18 March 1974 in Solihull) is a rugby union footballer who plays at Number 8 for RC Nice in France.He is perhaps best known for being Martin Johnson's younger brother but yet played over 200 times for Leicester and gained a number of caps for England 'A'. A good club man known for technique and work rate Johnson started the epic 2001 Heineken Cup final against Stade Francais breaking his arm and being replaced by Paul Gustard.
10,Littledalea, Littledalea is a genus of grass in the Poaceae family.
2,Luigi Serra, Luigi Serra (June 8 1846 – July 11 1888) was an Italian painter including watercolors.
7,Guayanés River (Yabucoa Puerto Rico), The Guayanés is a river of Puerto Rico.
2,Johann Friedrich Klöffler, Johann Friedrich Klöffler (20 April 1725 – 21 February 1790) was a German conductor composer and administrator. He was one of the earliest to write music for two orchestras.From 1750 to 1789 he worked at Steinfurt occasionally touring throughout Europe and Russia. For the Steinfurt castle concert hall he wrote lots of symphonies some of which include horns with crook changes. The vast majority of Klöffler's chamber music is for flute.
6,Ridge Avenue Bridge in Philadelphia, The Ridge Avenue Bridge in Philadelphia is a historic bridge in Philadelphia Pennsylvania.A triple-span stone arch bridge built in 1888 it carries Ridge Avenue over the Wissahickon Creek. It is the last crossing of the creek before it empties into the Schuylkill River. Four other stone arch bridges cross the Wissahickon. The 119.1-ft-long bridge was rehabilitated in 1954.The bridge was added to the National Register of Historic Places in 1988.
6,Saint Julie Billiart Parish, Saint Julie Billiart Parish is a Roman Catholic parish of the Diocese of San Jose in California located in the Santa Teresa neighborhood of San Jose California. The parish is named for Saint Julie Billiart the foundress of the Sisters of Notre Dame de Namur.
13,The Night That All Time Broke Out, The Night That All Time Broke Out is a short story by Brian W. Aldiss from Harlan Ellison's Dangerous Visions. The story presents a future world where time itself can be concentrated into a substance which is inhaled and used as a drug causing the user to temporarily regress to an earlier time period. There is an explosion at the factory which produces the gas causing a widespread regression of civilization (though it is unclear as to the extent).
7,Sinyaya River, The Sinyaya (Russian: Синяя Belarusian: Сінюха Latvian: Zilupe) is a river in Verkhnyadzvinsk Raion of Vitebsk Region of Belarus in Zilupe Ludza and Cibla municipalities of Latvia and in Sebezhsky Krasnogorodsky and Ostrovsky Districts of Pskov Oblast in Russia part of the Baltic Sea basin. It is a left tributary of the Velikaya River. It is 195 kilometres (121 mi) long and the area of its basin 2040 square kilometres (790 sq mi).
13,The English Gentleman, The English Gentleman (1978) is a humorous book written by Douglas Sutherland and illustrated by Timothy Jacques with an introduction by Sir Iain Moncreiffe of that Ilk.
9,Takasagovolva honkakujiana, Takasagovolva honkakujiana is a species of sea snail a marine gastropod mollusk in the family Ovulidae the ovulids cowry allies or false cowries.
10,Crataegus scabrida, Crataegus scabrida is a species of hawthorn.
9,Lagonibelus, Lagonibelus is a genus of belemnite an extinct group of cephalopods.
4,Ken Morrish, Ken Morrish (1919 – July 30 2006) nicknamed Mr. Highland Creek was a Metro Toronto politician. He served the Scarborough Ontario community as councillor deputy Metro Toronto Chair and mayor of Scarborough. He is a descendant of the Morrish Family who were among the original pioneer settlers in Scarborough.
6,National Museum of Aleppo, The National Museum of Aleppo (Arabic: متحف حلب الوطني‎) is the largest museum in the city of Aleppo founded in 1931. It is located in the heart of the northern city on Baron Street adjacent to the famous Baron Hotel and near the Bab al-Faraj clock tower. The majority of the museum's exhibitions are devoted to the archaeology of Syria with most of the finds coming from archaeological sites of the northern part of the country.
1,St Margaret's School Melbourne, St Margaret's School is an independent non-denominational day school with a co-educational primary school to Year 4 and for girls from Year 5 to Year 12.
7,Jöllenbecker Mühlenbach, Jöllenbecker Mühlenbach is a river of North Rhine-Westphalia Germany.
13,Journal of Grid Computing, The Journal of Grid Computing is a peer-reviewed scientific journal published by Springer Science+Business Media. According to the Journal Citation Reports the journal has a 2010 impact factor of 1.556. The editors-in-chief are Péter Kacsuk (MTA SZTAKI Computer and Automation Research Institute Budapest Hungary and the University of Westminster) and Ian Foster (Argonne National Laboratory and the University of Chicago Illinois USA)
10,Allium triquetrum, Allium triquetrum is a bulbous flowering plant in the genus Allium (onions and garlic) native to the Mediterranean basin. It is known in English as three-cornered leek.
13,IEEE Internet Computing, IEEE Internet Computing is a bimonthly magazine published by the IEEE Computer Society covering all aspects of emerging and maturing Internet technologies. The magazine publishes articles concerning the latest developments key trends and new applications related to the Internet and is intended for both academic researchers and software professionals.
10,Cryptolepis (plant), Cryptolepis is a plant genus in the family Apocynaceae. It includes some 42 species.
2,Louise Titchener, Louise F. Titchener (born 1941 in Detroit Michigan) was a US novelist since 1982. She wrote under various pseudonyms: Anne Silverlock and Jane Silverwood with Eileen Buckholtz Ruth Glick and Carolyn Males as Alyssa Howard with Ruth Glick as Alexis Hill Alexis Hill Jordan and Tess Marlowe with Carolyn Males as Clare Richards and Clare Richmond.
4,William N. Roach, William Nathaniel Roach (September 25 1840 – September 7 1902) was a United States Senator from North Dakota.
11,Dying Mapa I, Dying Mapa I is an album by the Japanese noise band Merzbow then consisting of Masami Akita and Kiyoshi Mizutani. This is the first installment of the Dying Mapa trilogy inspired by the Nyingmapa school of Tibetan Buddhism.Musically the whole trilogy is made with different equipment and instruments than other recordings of the same period.
9,Elachista aurita, Elachista aurita is a moth of the Elachistidae family. It is found in the southern parts of the eastern coast of Queensland.The wingspan is 6–6.2 millimetres (0.24–0.24 in) for males and 5.8–6.4 millimetres (0.23–0.25 in) for females. The forewings of the males are metallic blue basally with shiny dark bronzy brown scales distally. Females have similar forewings but have three silvery white markings. The hindwings of both sexes are dark grey.The larvae feed on Oplismenus species.
11,The Wiretap EP, The Wiretap EP is the debut release by the band Your Enemies Friends. It was released June 18 2002 on Buddyhead Records.
5,German submarine U-13 (1935), German submarine U-13 was a Type IIB U-boat of Nazi Germany's Kriegsmarine which was commissioned on 30 November 1936 following construction at the Deutsche Werke shipyards at Kiel. The first commander on board was Hans-Gerrit von Stockhausen. In its career it completed nine patrols all while serving with the 1st U-boat Flotilla. It succeeded in sinking nine ships and damaging three more.
10,Argusia, Argusia is a genus of plant in family Boraginaceae. It contains the following species (but this list may be incomplete): Argusia argentea (L.f.) Heine Argusia gnaphalodes
1,SMK Takis Papar, SMK Takis Papar also known as Sekolah Menengah Kebangsaan Takis Papar (SMKTP) in Malay is a Malaysian secondary school located in East Malaysia at Papar district. This school was established in 2001.
2,Gabriël Metsu, Gabriël Metsu (January 1629 – buried 24 October 1667) was a Dutch painter of history paintings genre works and portraits.
1,Halifax Community College, Halifax Community College is a community college located in Weldon a town in Halifax County in North Carolina. Established in 1967 the college is one of the oldest in the North Carolina Community College System. It offers associate's degree programs and continuing education. It is also a member of the American Association of Community Colleges.
0,Horizon Services, Horizon Services Inc. (HSI) is a nonprofit social service organization providing alcohol and drug treatment and recovery mental health recovery and substance abuse prevention services in Alameda San Mateo and Santa Clara counties in the San Francisco Bay Area of California. The executive director is Keith Lewis who has held the position since 1986. Their programs utilize the Alcoholics Anonymous and Narcotics Anonymous models along with other methods of treatment.
1,Woodrow Wilson High School (Portsmouth Virginia), Woodrow Wilson High School is a public high school located in Portsmouth Virginia. It is administered by Portsmouth City Public Schools. The school colors are royal blue orange and white and the nickname is the Presidents.
0,Andrew Barclay Sons & Co., Andrew Barclay Sons & Co. are a builder of steam and later fireless and diesel locomotives. The company's history dates to foundation of an engineering workshop in 1840 in Kilmarnock Scotland.After a long period of operation the company was acquired by the Hunslet group in 1972 and renamed Hunslet-Barclay; in 2007 the company changed hands after bankruptcy becoming Brush-Barclay as part of the FKI Group.
8,Hadar Nebraska, Hadar is a village in Pierce County Nebraska United States. It is part of the Norfolk Nebraska Micropolitan Statistical Area. The population was 293 at the 2010 census.
4,Robert Broadnax Glenn, Robert Broadnax Glenn (August 11 1854 – May 16 1920) was the 51st Governor of the U.S. state of North Carolina from 1905 to 1909.
8,Nasrollahabad Fuman, Nasrollahabad (Persian: نصراله اباد‎ also Romanized as Naşrollāhābād) is a village in Lulaman Rural District in the Central District of Fuman County Gilan Province Iran. At the 2006 census its population was 81 in 18 families.
8,Caledonia Michigan, Caledonia is a village in Kent County of the U.S. state of Michigan. The population was 1511 at the 2010 census. The village lies entirely within Caledonia Township.
8,Alaca Borçka, Alaca is a village in the District of Borçka Artvin Province Turkey. As of 2010 it had a population of 430 people.
6,United States Post Office and Court House (Lexington Kentucky), The United States Post Office and Court House is a courthouse of the United States District Court for the Eastern District of Kentucky located in Lexington Kentucky. Built in 1934 it was listed on the National Register of Historic Places in 1999.
4,Charles May (Canadian politician), Charles May (June 30 1858 – March 1 1932) was Canadian contractor and politician. He served on the Edmonton City Council and later as Mayor of Edmonton from 1905 to 1906.A native of what would become the province of Ontario May moved to Manitoba soon after completing education in his hometown. In Manitoba he would take to briefly farming before entering into the construction industry which he would establish prominence in.
8,Kostojevići, Kostojevići is a village in the municipality of Bajina Bašta Serbia. According to the 2002 census the village has a population of 495 people.
13,Men Microscopes and Living Things, Men Microscopes and Living Things is a children's book written by the American author Katherine Shippen and illustrated by Anthony Ravielli. The book was first published in 1955 and is a 1956 Newbery Honor recipient.
